rank,mrmr_mean,mrmr_max,combined_mrmr,jmi,cmim
1,value__absolute_sum_of_changes,value__absolute_sum_of_changes,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",value__sum_values,value__sum_values
2,value__variation_coefficient,value__variation_coefficient,"value__fft_coefficient__attr_""abs""__coeff_1",value__longest_strike_below_mean,value__permutation_entropy__dimension_3__tau_1
3,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",value__abs_energy,value__abs_energy
4,value__index_mass_quantile__q_0.3,value__sum_of_reoccurring_data_points,value__variation_coefficient,value__permutation_entropy__dimension_3__tau_1,value__mean_abs_change
5,value__mean_abs_change,value__index_mass_quantile__q_0.3,"value__fft_aggregated__aggtype_""centroid""",value__mean_abs_change,value__mean_second_derivative_central
6,value__sum_of_reoccurring_data_points,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",value__variance_larger_than_standard_deviation,value__sum_of_reoccurring_values,value__median
7,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",value__absolute_maximum,value__mean
8,"value__fft_coefficient__attr_""imag""__coeff_43","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",value__mean_n_absolute_max__number_of_maxima_7,value__standard_deviation
9,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",value__permutation_entropy__dimension_6__tau_1,value__variation_coefficient
10,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""real""__coeff_90","value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",value__mean_second_derivative_central,value__variance
11,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","value__fft_coefficient__attr_""real""__coeff_47","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",value__skewness
12,value__friedrich_coefficients__coeff_3__m_3__r_30,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",value__mean_change,value__kurtosis
13,"value__linear_trend__attr_""slope""","value__fft_coefficient__attr_""real""__coeff_74",value__index_mass_quantile__q_0.2,value__median,value__root_mean_square
14,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","value__agg_autocorrelation__f_agg_""var""__maxlag_40","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",value__mean,value__absolute_sum_of_changes
15,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,"value__fft_coefficient__attr_""real""__coeff_96","value__linear_trend__attr_""slope""",value__sample_entropy,value__sum_of_reoccurring_values
16,"value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_62","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",value__minimum,value__sum_of_reoccurring_data_points
17,"value__fft_coefficient__attr_""imag""__coeff_30","value__fft_coefficient__attr_""real""__coeff_87","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",value__standard_deviation,value__maximum
18,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","value__fft_coefficient__attr_""real""__coeff_76","value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",value__variation_coefficient,value__absolute_maximum
19,"value__fft_coefficient__attr_""real""__coeff_90",value__energy_ratio_by_chunks__num_segments_10__segment_focus_4,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",value__time_reversal_asymmetry_statistic__lag_1
20,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","value__fft_coefficient__attr_""imag""__coeff_79","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",value__time_reversal_asymmetry_statistic__lag_2
21,"value__fft_coefficient__attr_""imag""__coeff_79","value__fft_coefficient__attr_""real""__coeff_94",value__absolute_sum_of_changes,value__variance,value__time_reversal_asymmetry_statistic__lag_3
22,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","value__fft_coefficient__attr_""real""__coeff_54","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",value__skewness,value__c3__lag_1
23,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","value__fft_coefficient__attr_""imag""__coeff_98",value__sum_of_reoccurring_data_points,value__kurtosis,value__c3__lag_2
24,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,"value__fft_coefficient__attr_""real""__coeff_14","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",value__root_mean_square,value__c3__lag_3
25,value__friedrich_coefficients__coeff_1__m_3__r_30,"value__fft_coefficient__attr_""real""__coeff_80",value__ratio_value_number_to_time_series_length,value__absolute_sum_of_changes,value__cid_ce__normalize_True
26,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","value__fft_coefficient__attr_""real""__coeff_46",value__mean_abs_change,value__maximum,value__cid_ce__normalize_False
27,"value__fft_coefficient__attr_""imag""__coeff_60","value__fft_coefficient__attr_""real""__coeff_13","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",value__time_reversal_asymmetry_statistic__lag_1,value__quantile__q_0.1
28,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",value__autocorrelation__lag_0,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",value__time_reversal_asymmetry_statistic__lag_2,value__quantile__q_0.2
29,"value__fft_coefficient__attr_""abs""__coeff_1","value__fft_coefficient__attr_""real""__coeff_70","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",value__time_reversal_asymmetry_statistic__lag_3,value__quantile__q_0.3
30,value__sum_of_reoccurring_values,"value__fft_coefficient__attr_""real""__coeff_51",value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,value__c3__lag_1,value__quantile__q_0.4
31,"value__fft_coefficient__attr_""imag""__coeff_98","value__fft_coefficient__attr_""real""__coeff_84","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",value__c3__lag_2,value__quantile__q_0.6
32,"value__fft_coefficient__attr_""imag""__coeff_56","value__fft_aggregated__aggtype_""skew""","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",value__c3__lag_3,value__quantile__q_0.7
33,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","value__fft_coefficient__attr_""real""__coeff_15","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",value__cid_ce__normalize_True,value__quantile__q_0.8
34,"value__fft_coefficient__attr_""imag""__coeff_42","value__fft_coefficient__attr_""real""__coeff_82","value__fft_aggregated__aggtype_""variance""",value__cid_ce__normalize_False,value__quantile__q_0.9
35,"value__fft_coefficient__attr_""real""__coeff_74","value__fft_coefficient__attr_""real""__coeff_37","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",value__quantile__q_0.1,value__autocorrelation__lag_1
36,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",value__friedrich_coefficients__coeff_0__m_3__r_30,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",value__quantile__q_0.2,value__autocorrelation__lag_2
37,value__index_mass_quantile__q_0.4,"value__fft_coefficient__attr_""real""__coeff_91","value__fft_coefficient__attr_""real""__coeff_90",value__quantile__q_0.3,value__autocorrelation__lag_3
38,"value__fft_aggregated__aggtype_""skew""","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",value__quantile__q_0.4,value__autocorrelation__lag_4
39,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""real""__coeff_42",value__sum_of_reoccurring_values,value__quantile__q_0.6,value__autocorrelation__lag_5
40,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","value__fft_coefficient__attr_""real""__coeff_23","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",value__quantile__q_0.7,value__autocorrelation__lag_6
41,"value__fft_coefficient__attr_""imag""__coeff_65","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",value__quantile__q_0.8,value__autocorrelation__lag_7
42,value__cid_ce__normalize_False,"value__fft_coefficient__attr_""real""__coeff_81",value__index_mass_quantile__q_0.6,value__quantile__q_0.9,value__autocorrelation__lag_8
43,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","value__fft_coefficient__attr_""real""__coeff_12","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",value__autocorrelation__lag_1,value__autocorrelation__lag_9
44,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","value__fft_coefficient__attr_""real""__coeff_98","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",value__autocorrelation__lag_2,"value__agg_autocorrelation__f_agg_""mean""__maxlag_40"
45,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,"value__fft_coefficient__attr_""real""__coeff_95","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",value__autocorrelation__lag_3,"value__agg_autocorrelation__f_agg_""median""__maxlag_40"
46,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",value__large_standard_deviation__r_0.1,"value__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",value__autocorrelation__lag_4,"value__agg_autocorrelation__f_agg_""var""__maxlag_40"
47,"value__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",value__autocorrelation__lag_5,value__partial_autocorrelation__lag_1
48,"value__fft_coefficient__attr_""imag""__coeff_20","value__fft_coefficient__attr_""imag""__coeff_76",value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,value__autocorrelation__lag_6,value__partial_autocorrelation__lag_2
49,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","value__fft_coefficient__attr_""real""__coeff_83","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",value__autocorrelation__lag_7,value__partial_autocorrelation__lag_3
50,value__index_mass_quantile__q_0.1,"value__fft_coefficient__attr_""real""__coeff_86","value__linear_trend__attr_""rvalue""",value__autocorrelation__lag_8,value__partial_autocorrelation__lag_4
51,"value__fft_coefficient__attr_""real""__coeff_62","value__fft_coefficient__attr_""real""__coeff_71","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",value__autocorrelation__lag_9,value__partial_autocorrelation__lag_5
52,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","value__fft_coefficient__attr_""imag""__coeff_60","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""","value__agg_autocorrelation__f_agg_""mean""__maxlag_40",value__partial_autocorrelation__lag_6
53,"value__fft_coefficient__attr_""real""__coeff_47",value__friedrich_coefficients__coeff_3__m_3__r_30,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","value__agg_autocorrelation__f_agg_""median""__maxlag_40",value__partial_autocorrelation__lag_7
54,"value__fft_coefficient__attr_""abs""__coeff_98","value__fft_coefficient__attr_""real""__coeff_44",value__percentage_of_reoccurring_values_to_all_values,"value__agg_autocorrelation__f_agg_""var""__maxlag_40",value__partial_autocorrelation__lag_8
55,"value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_48",value__friedrich_coefficients__coeff_3__m_3__r_30,value__partial_autocorrelation__lag_1,value__partial_autocorrelation__lag_9
56,value__index_mass_quantile__q_0.6,"value__fft_coefficient__attr_""imag""__coeff_43","value__fft_coefficient__attr_""imag""__coeff_1",value__partial_autocorrelation__lag_2,value__binned_entropy__max_bins_10
57,"value__fft_coefficient__attr_""imag""__coeff_76",value__ar_coefficient__coeff_3__k_10,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",value__partial_autocorrelation__lag_3,"value__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)"
58,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","value__fft_coefficient__attr_""real""__coeff_63",value__range_count__max_1__min_-1,value__partial_autocorrelation__lag_4,"value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)"
59,value__variance,"value__fft_coefficient__attr_""real""__coeff_68",value__index_mass_quantile__q_0.3,value__partial_autocorrelation__lag_5,"value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)"
60,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","value__fft_coefficient__attr_""real""__coeff_1",value__cid_ce__normalize_False,value__partial_autocorrelation__lag_6,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)"
61,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","value__fft_coefficient__attr_""angle""__coeff_61","value__fft_coefficient__attr_""imag""__coeff_30",value__partial_autocorrelation__lag_7,"value__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)"
62,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","value__fft_coefficient__attr_""imag""__coeff_91","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",value__partial_autocorrelation__lag_8,"value__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)"
63,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,"value__fft_coefficient__attr_""real""__coeff_97","value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",value__partial_autocorrelation__lag_9,"value__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)"
64,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8","value__fft_coefficient__attr_""real""__coeff_60","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",value__binned_entropy__max_bins_10,"value__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)"
65,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",value__partial_autocorrelation__lag_9,"value__fft_coefficient__attr_""abs""__coeff_2","value__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)"
66,"value__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_39","value__fft_coefficient__attr_""angle""__coeff_61","value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)"
67,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","value__fft_coefficient__attr_""real""__coeff_17","value__fft_coefficient__attr_""abs""__coeff_98","value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)"
68,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""","value__fft_coefficient__attr_""real""__coeff_56","value__fft_coefficient__attr_""imag""__coeff_51","value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)"
69,value__index_mass_quantile__q_0.2,"value__fft_coefficient__attr_""real""__coeff_41","value__fft_coefficient__attr_""real""__coeff_74","value__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)"
70,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","value__fft_coefficient__attr_""real""__coeff_19","value__fft_coefficient__attr_""abs""__coeff_56","value__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)"
71,"value__fft_coefficient__attr_""imag""__coeff_51","value__fft_coefficient__attr_""real""__coeff_50",value__index_mass_quantile__q_0.1,"value__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)"
72,value__percentage_of_reoccurring_datapoints_to_all_datapoints,"value__fft_coefficient__attr_""real""__coeff_73","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","value__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)"
73,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8","value__fft_coefficient__attr_""imag""__coeff_56","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""","value__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)"
74,"value__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_36",value__friedrich_coefficients__coeff_1__m_3__r_30,"value__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)"
75,"value__fft_coefficient__attr_""imag""__coeff_23","value__fft_coefficient__attr_""real""__coeff_21","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8","value__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)"
76,"value__fft_coefficient__attr_""abs""__coeff_56","value__fft_coefficient__attr_""real""__coeff_85","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)"
77,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,"value__fft_coefficient__attr_""real""__coeff_61","value__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)"
78,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","value__fft_coefficient__attr_""real""__coeff_38","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","value__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)"
79,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","value__fft_coefficient__attr_""imag""__coeff_97","value__fft_coefficient__attr_""imag""__coeff_98","value__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)"
80,"value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_18",value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,"value__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)"
81,"value__linear_trend__attr_""stderr""","value__fft_coefficient__attr_""imag""__coeff_99","value__fft_aggregated__aggtype_""skew""","value__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)"
82,"value__fft_coefficient__attr_""real""__coeff_87","value__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",value__standard_deviation,"value__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)"
83,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",value__length,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,"value__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)"
84,value__percentage_of_reoccurring_values_to_all_values,"value__fft_coefficient__attr_""real""__coeff_67","value__fft_coefficient__attr_""imag""__coeff_56","value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)"
85,"value__fft_coefficient__attr_""imag""__coeff_10","value__fft_coefficient__attr_""real""__coeff_79","value__fft_coefficient__attr_""abs""__coeff_75","value__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)"
86,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","value__fft_coefficient__attr_""real""__coeff_69","value__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)"
87,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""","value__fft_coefficient__attr_""imag""__coeff_65","value__fft_coefficient__attr_""imag""__coeff_65","value__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)"
88,"value__fft_coefficient__attr_""abs""__coeff_62","value__fft_coefficient__attr_""imag""__coeff_72","value__fft_coefficient__attr_""abs""__coeff_81","value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)"
89,"value__fft_coefficient__attr_""imag""__coeff_72","value__fft_coefficient__attr_""real""__coeff_77","value__fft_coefficient__attr_""real""__coeff_62","value__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)"
90,value__friedrich_coefficients__coeff_2__m_3__r_30,"value__fft_coefficient__attr_""real""__coeff_88","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""","value__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)"
91,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",value__has_duplicate_max,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8","value__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)"
92,"value__fft_coefficient__attr_""imag""__coeff_1","value__fft_coefficient__attr_""real""__coeff_58","value__fft_coefficient__attr_""imag""__coeff_42","value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)"
93,value__index_mass_quantile__q_0.8,"value__fft_coefficient__attr_""imag""__coeff_96","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)"
94,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2","value__fft_coefficient__attr_""real""__coeff_22","value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)"
95,"value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_55","value__fft_coefficient__attr_""abs""__coeff_84","value__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)"
96,value__lempel_ziv_complexity__bins_5,value__mean_abs_change,"value__fft_coefficient__attr_""imag""__coeff_60","value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)"
97,"value__fft_coefficient__attr_""imag""__coeff_57","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","value__fft_coefficient__attr_""real""__coeff_47","value__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)"
98,value__ratio_beyond_r_sigma__r_2,"value__fft_coefficient__attr_""real""__coeff_20",value__percentage_of_reoccurring_datapoints_to_all_datapoints,"value__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)"
99,value__standard_deviation,"value__fft_coefficient__attr_""real""__coeff_40","value__fft_coefficient__attr_""abs""__coeff_83","value__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)"
100,"value__fft_coefficient__attr_""imag""__coeff_21","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""","value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)"
101,"value__fft_coefficient__attr_""real""__coeff_96","value__fft_coefficient__attr_""imag""__coeff_42",value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,"value__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)"
102,"value__fft_coefficient__attr_""angle""__coeff_61","value__fft_coefficient__attr_""real""__coeff_99","value__fft_coefficient__attr_""abs""__coeff_62","value__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)"
103,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","value__fft_coefficient__attr_""real""__coeff_52","value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)"
